Rank,company_id,year,return_on_equity_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,company_name,roce_percentage,roe_percentage,sales,net_profit,eps,opm_percentage,compounded_sales_growth,compounded_profit_growth,stock_price_cagr,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,broad_sector,sub_sector,market_cap_category,return_on_equity_pct_score,net_profit_margin_pct_score,operating_profit_margin_pct_score,asset_turnover_score,free_cash_flow_cr_score,compounded_sales_growth_score,compounded_profit_growth_score,composite_quality_score
24,IRCTC,2023,40.6,28.41,36,0.0339,89.0,0.6958,495,317,13,1.5488,44,84,812,Indian Railway Catering & Tourism Corporation Ltd,53.8,40.4,3541,1006,13,36,,,,1359334.39,1302404.03,22.05,11.74,14.17,2.02,Consumer Discretionary,Travel & Tourism,Mid Cap,100.0,100.0,0.7000875109388669,0.0,10.55767972167683,0,0,41.69
25,DRREDDY,2014,24.96,14.63,24,0.5692,26.937,0.8434,366,1604,23,9.2529,16,4477,1970,Dr Reddys Laboratories Ltd,26.5,21.4,13415,1963,23,24,,,,,,,,,,Healthcare,Pharmaceuticals,Mid Cap,100.0,32.91177970423254,0.4016439379787035,100.0,7.076243455497382,0,0,41.06
26,ADANIPORTS,2024,15.35,30.34,58,0.9373,5.9495,0.2283,8250,6768,38,12.2171,16,49470,15018,"Adani Ports & Special Economic Zone Ltd
",12.9,18.1,26711,8104,38,58,,,,675598.01,611165.74,48.9,2.31,31.76,1.16,Industrials,Infrastructure,Large Cap,0.147325840169038,77.28507401874236,90.56603773584906,0.04713013624870448,100.0,0,0,40.22
27,ASIANPAINT,2024,29.68,15.66,21,0.1321,41.0049,1.1871,3556,2548,57,19.5083,58,2474,6104,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",41.75,31.45,35495,5558,57,21,,,,2126725.18,2475080.63,73.37,3.9,23.94,2.42,Materials,Paints & Coatings,Large Cap,70.86668685907145,79.82683982683984,0.0262182104198659,67.36022053095225,21.44594190690976,0,0,39.65
28,TRENT,2024,36.31,11.94,16,0.4309,8.0435,1.7279,841,508,42,11.3,8,1753,1349,Trent Ltd,23.8,27.2,12375,1477,42,16,,,,571322.04,566293.08,8.65,11.82,34.65,3.46,Consumer Discretionary,Retail,Large Cap,90.62185004264556,49.96346809547004,0.2000250031253906,60.2465945894456,22.47597395887155,0,0,39.58
29,PIDILITIND,2016,30.59,15.05,22,0.0303,96.4615,1.4435,416,491,16,5.1725,26,80,907,Pidilite Industries Ltd,29.7,22.8,5361,807,16,22,,,,,,,,,,Materials,Specialty Chemicals,Large Cap,74.80420578945092,73.22510822510824,0.03156886560759364,98.09072931024151,0.1161590087764582,0,0,39.52
30,TITAN,2024,37.22,6.84,10,1.6531,9.412,1.6193,1506,189,39,10.5539,28,15528,1695,"Titan Company Ltd
",22.7,32.9,51084,3496,39,10,,,,1793769.72,2116401.21,10.13,10.51,21.0,3.1,Consumer Discretionary,Gems & Jewellery,Large Cap,94.14980227959988,18.9113492450073,0.05000625078134764,53.78107734806628,45.38252213151458,0,0,38.57
31,ONGC,2022,19.0,10.03,16,0.4701,15.2161,0.8422,37051,41197,36,4.1256,29,121986,78248,Oil & Natural Gas Corpn Ltd,19.71,14.32,491246,49294,36,16,,,,406613.69,429326.73,44.82,14.33,23.74,4.48,Energy,Oil & Gas Exploration,Large Cap,58.34049871023217,16.80616740088105,15.82278481012659,39.46174397715234,100.0,0,0,38.43
32,MOTHERSON,2014,37.07,3.61,8,1.6357,9.2109,1.9951,1323,1372,2,3.3625,29,4840,2695,Samvardhana Motherson International Ltd,13.7,11.8,30414,1097,2,8,,,,,,,,,,Consumer Discretionary,Auto Ancillaries,Large Cap,93.56827169109093,0.0,0.0,76.154386549819,39.07891564190003,0,0,36.87
33,BHARTIARTL,2016,10.32,7.140000000000001,35,1.5074,4.5451,0.43,13851,14091,11,3.3402,9,100646,27942,Bharti Airtel Ltd,13.1,14.9,96532,6893,11,35,,,,,,,,,,Communication Services,Telecommunications,Large Cap,0.0,0.0,100.0,38.84790360260663,100.0,0,0,33.88
34,ITC,2023,28.16,27.46,36,0.0044,356.4359,0.8263,13146,5732,15,5.5636,100,306,18878,"ITC Ltd
",34.76,29.47,70919,19477,15,36,,,,376827.06,485289.24,55.53,3.36,31.27,0.78,Consumer Staples,Diversified FMCG,Large Cap,10.97569701161487,100.0,0.3008494572911751,6.941919497973307,100.0,0,0,33.48
35,SHREECEM,2013,26.12,18.53,29,0.3351,9.057,0.8795,990,270,288,10.9829,7,1288,1260,Shree Cement Ltd,14.8,12.2,5418,1004,288,29,,,,,,,,,,Materials,Cement,Large Cap,55.4627666479166,100.0,0.0690234519216878,30.49319829807634,4.015297665951145,0,0,32.53
36,HINDALCO,2022,17.56,7.04,28347,0.8247,133.0623,0.8792,10065,6773,61,35.2212,6,64486,16838,Hindalco Industries Ltd,11.3,10.2,195059,13730,61,28347,,,,477796.57,514931.21,58.41,9.72,9.1,2.8,Materials,Metals & Mining,Large Cap,18.4241270390723,0.0,100.0,30.45724216455923,65.66108741135236,0,0,32.5
37,BOSCHLTD,2017,19.79,16.68,19,0.0,106.4815,0.8843,2703,1246,570,29.33,29,0,1457,Bosch Ltd,20.6,16.0,10435,1741,570,19,,,,,,,,,,Consumer Discretionary,Auto Ancillaries,Large Cap,26.57594789485926,78.82367267413541,0.275034379297412,10.02274242712897,86.61430884227205,0,0,32.5
38,NHPC,2017,11.99,40.36,57,0.6627,6.2921,0.1433,6465,1864,3,0.2828,61,19227,8329,"NHPC Ltd
",7.67,9.61,8623,3480,3,57,,,,,,,,,,Energy,Power & Utilities,Large Cap,8.111206649469763,100.0,80.69620253164562,0.0,21.43973274422114,0,0,32.35
39,APOLLOHOSP,2022,19.7,7.56,15,0.7235,6.7467,1.1057,949,747,73,7.8097,16,4068,1696,"Apollo Hospitals
Chain of Indian private hospitals",17.2,13.81,14663,1108,73,15,,,,1499729.8,1505860.05,53.27,1.11,18.53,1.32,Healthcare,Healthcare,Large Cap,61.88163884673747,0.0,0.0,100.0,30.92277486910995,0,0,30.11
40,MARUTI,2018,18.52,9.87,15,0.0028,41.2514,1.3247,3486,8302,261,28.1848,31,121,11788,Maruti Suzuki India Ltd,23.67,15.75,79809,7881,261,15,,,,,,,,,,Consumer Discretionary,Automobiles,Mid Cap,21.65232224548344,37.35996103263516,0.1750218777347167,36.24202228995998,100.0,0,0,29.67
41,JINDALSTEL,2022,18.99,13.22,30,0.379,7.2431,0.6676,13717,2331,56,35.2723,5,13502,16048,Jindal Steel & Power Ltd,13.2,14.1,51166,6766,56,30,,,,349306.1,394403.82,47.36,3.25,23.96,4.38,Materials,Steel,Large Cap,24.61165678681147,53.41991341991343,0.07437410710941553,5.096182657158254,90.46884764828955,0,0,28.26
42,JSWENERGY,2015,18.06,14.53,39,1.2362,3.3597,0.4813,2972,422,8,0.4584,24,9294,3394,JSW Energy Ltd,8.59,8.4,9347,1358,8,39,,,,,,,,,,Energy,Power & Utilities,Mid Cap,51.60504442533678,29.19603524229075,52.21518987341776,18.68119213229536,7.996120480629345,0,0,28.18
43,GAIL,2022,19.19,13.26,16,0.1437,89.5347,0.9605,3930,5490,18,1.444,36,9216,9420,GAIL (India) Ltd,14.7,14.0,92770,12304,18,16,,,,1209368.79,1283114.71,66.94,6.52,20.9,3.73,Energy,Gas Distribution,Large Cap,59.70192032100891,25.69933920704845,15.82278481012659,46.27343498088351,11.68320337456606,0,0,27.53
44,BRITANNIA,2023,65.53,14.21,17,0.848,20.284,1.7432,1019,1507,96,14.725,75,2997,2526,Britannia Industries Ltd,48.9,57.1,16301,2316,96,17,,,,285063.86,344785.02,25.49,4.57,25.98,4.06,Consumer Staples,Food Products,Large Cap,55.53912566481433,27.02632937532267,0.02064653138272769,68.67854401486689,8.765862094161776,0,0,26.12
45,SBILIFE,2013,23.03,4.24,3,0.0,179.75,0.2768,903,227,6,0.2736,8,0,1130,SBI Life Insurance Company Ltd,13.2,12.0,14870,630,6,3,24.0,6.0,,,,,,,,Financials,Life Insurance,Large Cap,29.62636069432181,8.319253359079571,33.2217949358238,17.4439244795869,1.773844852358636,100,0,25.65
46,NTPC,2022,12.53,12.78,30,1.5565,4.8177,0.319,18897,22891,17,1.396,41,210707,41788,NTPC Ltd,10.58,12.52,132669,16960,17,30,,,,733611.88,778448.75,54.44,0.57,34.87,0.34,Energy,Power & Utilities,Large Cap,11.98051017483519,24.37775330396476,37.97468354430382,9.335989681698836,69.28713831564201,0,0,23.67
47,LT,2021,176.9,9.5,17,0.1093,2.6869,12.7012,17324,5750,82,40.5778,44,798,23074,Larsen & Toubro Ltd,17.18,10.49,135979,12921,82,17,,,,690472.41,723135.04,13.01,9.07,9.08,3.34,Industrials,Engineering & Construction,Large Cap,8.259285444568524,6.525872606274619,13.20754716981132,16.15259524354914,100.0,0,0,21.64
48,M&M,2022,15.39,8.04,16,1.6469,3.5646,0.5231,5996,3252,53,8.4754,20,77605,9248,"Mahindra & Mahindra Ltd
",26.98,17.99,90171,7253,53,16,,,,3425061.3,3221889.8,52.32,14.96,6.22,3.79,Consumer Discretionary,Automobiles,Large Cap,9.51771729859657,26.21773015099854,0.2000250031253906,0.0,100.0,0,0,21.34
49,DMART,2018,17.26,5.36,9,0.094,24.0167,2.6617,1194,464,13,0.7482,0,439,730,Avenue Supermarts Ltd,19.4,14.5,15033,806,13,9,,,,,,,,,,Consumer Discretionary,Retail,Large Cap,16.76746530200822,9.900146127618122,0.02500312539067382,100.0,34.6353897557783,0,0,20.88
50,TVSMOTOR,2016,23.58,3.77,7,0.5998,13.0286,2.2108,331,605,9,3.7896,28,1091,936,TVS Motor Company Ltd,,,11377,429,9,7,,,,,,,,,,Consumer Discretionary,Two Wheelers,Large Cap,41.26928743118553,0.2191914271797372,0.0,88.99611830824917,4.908546036994936,0,0,19.99
